id,title,type,organization,location,createdDate,deadlineDate,description,eligibility,benefits,applicatoinProcess,requiredDocuments,websiteURL,contact,additionalInformation,isRecurring,educationLevel,field,pictureURL
1,UWC Scholarship,National,UWC Nepal,Online,17/10/2023 19:09:19,2023-10-31,"United World Colleges (UWC) is a global movement that makes education a force to unite people, nations and cultures for peace and a sustainable future. ","The applicant must be a citizen of Nepal (you DO NOT need your actual nagarikta right now to apply). 
You may or may not be living/studying in Nepal right now but if you are a citizen here, you are eligible to apply for UWC through the Nepal National Committee. 
The applicant must have been born between March 1, 2006, and September 1, 2008, to meet the age criteria. 
All candidates must have completed 10th-grade level education with a minimum GPA of 3.0 (75%) for private schools and 2.8 (70%) for government schools on the SEE/CBSE/ICSE or other equivalent board exams.  
Siblings of former UWC students are also eligible to apply.","UWC Nepal helps in building personal responsibility,  develop curiosity and motivation, and social competence. ",,,https://apply.uwc.org/prog/uwc_nepal_nc_-_entry_2024/,info@np.uwc.org ,,,High School,,
2,PU Bachelors Level Scholorship,National,Purbanchal University,Online form,17/10/2023 19:25:08,2024-04-31,"Purbanchal University, Biratnagar, Morang has published Scholarship Notice for various bachelor level programs for the academic session 2080/081 (year 2023):
Scholarships offered for the academic session 2080/081 (year 2023).
- 10% total scholarship in AI programs.
- Distribution: 5% Jehendar and 5% reserved.",Must have completed +2,It will provide motivation in individuals,,Scan of passport size photo and certificates of +2,https://pufost.edu.np,,,,Bachelors,Tech,
3,Kathmandu school of law merit and need-based scholarship,National, Kathmandu school of law ,"Bhaktapur, suryabinayak, dadhikot ",02/11/2023 13:46:41,,"Following enrollment at KSL, scholarship forms for both merit-based and need-based awards are made available annually.","To be eligible for the merit-based scholarship, students must achieve the highest three positions in the board examination administered by Purbanchal University. Additionally, KSL offers merit-based scholarships to the top three performers in the entrance examination for the B.A.LL.B 1st-year program.","
Those who demonstrate motivation and excel in their studies will have the chance to pursue their education without financial concerns, ensuring a secure future. Similarly, individuals who perform well academically and receive merit-based scholarships will be inspired to maintain their diligence and determination.
",this is different for each year so there is no specific form.,,https://ksl.edu.np/page/scholarship-details,,,Recurring,Bachelors,Law,https://drive.google.com/open?id=164h_mPoFQe2E6BHOSyaynJi23jli0r67
4,Dirgha & Kausalya GC Memorial Scholarship Endowment Fund,National,KUSL,Dhulikhel,02/11/2023 15:31:36,,This fund is provided to female students on need basis focusing primarily on Tanahun district. ,"special consideration is given to needy, underprivileged, and rural background family who have a history of educational disadvantages who are deserving. ","This scholarship, specifically aimed at students from Tanahun district, will provide much-needed financial assistance, enabling them to pursue education in a secure environment. It plays a crucial role in helping these students secure their future by facilitating their access to quality education without financial constraints.",.,,https://sol.ku.edu.np/facilities,,,Recurring,Bachelors,Law,https://drive.google.com/open?id=1jcPurF60Wy1HTvauAHNUu28euxiBeaNd
5,College scholarships and beyond ,National,NYF,"lalitpur, Chhunikhel",02/11/2023 15:45:18,,"NYF scholarships extend to students enrolled in college, graduate school, medical school, and similar higher-education programs. Priority is given to individuals who exhibit strong motivation and high academic achievement, particularly those belonging to oppressed minority groups, facing financial challenges, or encountering obstacles in pursuing college-level education.","minority group
highly motivated
high scoring student 
financial hardship","This scholarship is beneficial because it provides support for students in various higher-education programs, prioritizing those who are highly motivated and have excelled academically. Its focus on individuals from oppressed minority groups, those experiencing financial hardship, or facing other barriers enhances access to college-level education, fostering inclusivity and opportunity.",.,,https://nepalyouthfoundation.org/program/scholarships-for-k-12-and-college-students/,,,Recurring,"High School, Bachelors, Masters","Tech, Law",https://drive.google.com/open?id=1U8-M27B6IOJ53Hy2plE1wAWSYIw4Kh1e
6,little sisters fund scholarship,National,little sisters fund ,,03/11/2023 11:44:23,,"Little Sisters Fund partners with girls and their families to ensure their full education, which typically spans 8 to 12 years.

The organization offers three different scholarship programs.

Once enrolled in any of these scholarship programs, all girls receive a high-touch, holistic support system through additional initiatives.

The scholarships provided by the organization cover all school-related expenses, including tuition, fees, uniforms, books, and supplies, thus relieving families of the economic burden.","Selection is based on need, with a primary emphasis on economic poverty and the risk of girls being subjected to trafficking, early marriage, or child labor.

Secondary selection criteria take into account factors like social marginalization due to caste, such as Dalits or ""untouchables,"" as well as disadvantages related to family situations like orphans or children of single parents.

Another secondary criterion is marginalization due to disability.

In addition to need-based criteria, it's essential that the girl genuinely desires an education, and her family is willing to collaborate and support her education within their home environment.



","The scholarship criteria target economically disadvantaged girls at risk and empower them to access education, addressing issues of discrimination and family support while enhancing their life opportunities.",.,,https://littlesistersfund.org/,info@littlesistersfund.org,,Recurring,High School,"Tech, Law, ",https://drive.google.com/open?id=1GDFWf0UkH5biwD7SrH6ECCfu4SEdvkWI
7,Kathmandu Metro Grade 11 Scholarship,National,"Kathmandu Metropolitan City, Education Department, Municipal Office",Kathmandu,04/11/2023 22:06:44,2023-12-30,"Kathmandu Metropolitan City, Education Department, Municipal Office, Kamaladi, Kathmandu announces scholarship notice for the students who wish to study under the scholarship quota in Class 11.The Kathmandu Metropolitan City Scholarships will be conducted within this municipality in community educational institutions.","Having a minimum GPA of 1.6 in the Secondary Education Examination (SEE).
Completion of SEE from a community school.
Completion of SEE through studying with a scholarship of 10% in institutional schools.
Permanent residence in Ward No. 1, 2, 3 of the directly affected area from Landfield Side, and Ward No. 1, 3, 4 of Dhunibeshi Rural Municipality.",People who have been selected for the program will not have to pay for Tuition fees and Admission fees. This scholarship is valid in community schools of Kathmandu Metropolitan City. The scholarship is valid for both grade 11 and 12.,All the required information is in the attached PDF file.,"SEE Admit Card
Recent passport-sized photo
Citizenship certificate or birth registration certificate
SEE or equivalent mark sheet and character certificate
Required documents for reservation purposes",http://entrance.kathmandu.gov.np/,," There will be 100 multiple-choice questions based on the subjects and areas covered in the examination based on the Secondary Level Class 10 curriculum. It will consist of 30/30 questions from compulsory subjects such as Mathematics, Science, and English, and 10 questions from General Knowledge. To pass the scholarship examination, a minimum of 40% marks must be obtained. There will be no negative marking for wrong answers.

The total duration of the exam will be two hours.  Applicants won't be able to apply to more than one program. ",Recurring,High School,+2 science/management/humanities/law/technical,https://drive.google.com/open?id=1cAjBjNJjd4Z9Y7ulTEa8OvB6YPRCxY_Z
8,GGIC merit based scholorhsip,National,Golden Gate International College,"Battisputali, Purano Baneshwor",06/11/2023 17:26:21,,This enrolment provides merit based and need based scholorship,"Must have passed SEE 
 Should be studying in GGIC
Minority group
High Scoring student",This scholarship is beneficial since it provides motivation to study for student scoring excellent marks and provides financial aid for student from minority group.,,,https://sec.goldengateintl.com/,https://sec.goldengateintl.com/,,Recurring,"High School, Bachelors","Tech, Science and Management",https://drive.google.com/open?id=1j3takE6sPJrpH2sxb1YKBHVnmhAfTcSA
9,Kanjirowa Scholarship,National,Kanjirowa National Secondary College,"Koteshwor, Kathmandu",06/11/2023 17:32:50,,There is provision of scholarships to the students with need. The deserving students are required to apply for the scholarship. The criteria for the same are based on brilliance and academic performance of the students.,"Student belonging from minority group
Student scoring excellent scores",This scholarship provides deserving student to score good scores.,,,,"Email: kanjisl@mail.com.np   Phone: 015100433, 015100479",,Recurring,High School,Management and Science,https://drive.google.com/open?id=1PpKS_pHq04tHcUSaLeryZX-0RIrjns7N
10,Mahatma Gandhi Scholarship,National,The Embassy of India,All over nepal,13/10/2023 09:16:56,2023-12-26,"The Embassy of India is providing Mahatma Gandhi Scholarship Scheme for the year 2024-2024 to Nepalese students studying in grade 11.The candidate should be a regular student of Class 11 in any recognized educational institute in Nepal. Selected students will get a scholarship of NRs. 2,000/- per month. The scholarship will continue in the second year provided that the awardees clear the class 11. The documents should be submitted latest by November 2023 either physically at Education Wing of the Embassy of India, Kathmandu or Consulate General of India, Birgunj or via email: attacheedu.kathmandu@mea.gov.in, failing which the scholarship may be terminated. The scholarship will be discontinued if the awardee fails in Class 11 or discontinues study or any other valid reason.","1.The candidate should be a regular student of Class 11 in any recognized educational institute in Nepal. Proof of student studying in Class 11th attested by Principal / Head of Institute to be uploaded.
2.Candidate should have secured at least 60% aggregate marks at the High School (Class 10th). Mark- Sheet of Class 10th to be uploaded.
3.The family income of the candidate must be less than NRs. 2,00,000/- per annum. Income proof issued by CDO/LDO/Municipality Head to be uploaded.","The selected candidates will be awarded with NRs. 2,000/- per month.
The scholarship will continue till the second year if the selected students are able to clear grade 11. ",Applicants are advised to interact solely with the Education Wing of the Embassy in Kathmandu and the Consulate General of India at Birgunj.,"Mark- Sheet of Class 10th to be uploaded.
Citizenship Certificate of self or parent to be uploaded.
Proof in respect of physically challenged candidates issued by CDO/LDO/Municipality Head to be uploaded.
The family income of the candidate must be less than NRs. 2,00,000/- per annum. Income proof issued by CDO/LDO/Municipality Head to be uploaded.", www.goischolarship.com.np,,"Indian Embassy accepts applications directly from applicants only. But the embassy does not recognize the application made through any educational consultant or intermediary or agency in Nepal.

All students are requested to be cautious with such unauthorized entities or persons. Applications received through such unauthorized bodies or individuals will be cancelled.",,High School,Any course ,https://drive.google.com/open?id=18lbX_J1L-PrCxYXeHuNFinvZiO5giMZe
